,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
0,ITC,202727,150365,52362,34.82,249512,200358.09552,137388843024,216336.16576,15978.07024,380
1,SWIGGY,4479,3342,1137,34.02,2083,6090.2556,469847547,6208.70107,118.44547,390
2,NIFTY,6860339,6025496,834843,13.86,16697423,219124.60516,28401666055328,886648.14595,667523.54078,26147
3,DRREDDY,28098,25644,2454,9.57,7615,6366.33387,5453461387,7005.26025,638.92637,1252
4,ASHOKLEY,50837,46509,4328,9.31,24165,20310.629,20389447650,24326.5805,4015.9515,182
5,BAJAJHLDNG,1877,1721,156,9.06,594,726.00375,277526208,788.36584,62.36208,11336
6,PREMIERENE,2489,2306,183,7.94,783,533.38569,338582442,594.67512,61.28942,846
7,ADANIENSOL,32483,30165,2318,7.68,17546,14894.75526,11377763455,17833.27232,2938.51705,1048
8,MIDCPNIFTY,85345,79840,5505,6.9,47835,18240.9026,77835014854,25426.56115,7185.65854,13767
9,BANKBARODA,44897,42022,2875,6.84,23780,30847.03069,18269379267,34295.28774,3448.25705,300
10,FINNIFTY,5066,4744,322,6.79,3087,349.80913,5148162685,804.04599,454.23685,27613
11,ADANIGREEN,57042,53439,3603,6.74,26390,24203.75028,14685062622,27824.8965,3621.14622,1027
12,TVSMOTOR,58152,54504,3648,6.69,26378,16423.31369,16153126358,20026.54477,3603.23108,3755
13,WAAREEENER,3637,3413,224,6.56,1168,1427.25915,509484622,1505.11788,77.85872,2967
14,BHEL,44104,41784,2320,5.55,12719,16680.16507,8364086797,18759.85492,2079.68985,290
15,BANKNIFTY,746825,710511,36314,5.11,416205,69298.70035,744495623447,123091.87483,53793.17447,59665
16,KAYNES,58074,55461,2613,4.71,13955,8261.0767,5019649852,9464.42522,1203.34852,3955
17,ALKEM,13691,13091,600,4.58,2128,2959.33485,1146292991,3109.32726,149.99241,5396
18,BOSCHLTD,10143,9743,400,4.11,1215,1126.581,976840427,1212.92278,86.34177,35810
19,RECLTD,103332,99263,4069,4.1,34724,25224.77636,15634106446,28343.82082,3119.04446,361
20,APLAPOLLO,29448,28407,1041,3.66,5477,6842.50546,3121335679,7460.54225,618.03679,1945
21,APOLLOHOSP,37503,36178,1325,3.66,5323,3941.30306,4330536896,4425.67202,484.36896,7066
22,SUPREMEIND,15260,14722,538,3.65,7748,7068.9199,4056149044,7979.96034,911.04044,3435
23,UNITDSPR,41562,40171,1391,3.46,5330,5452.53932,2587302924,5925.56856,473.02924,1428
24,M&M,113311,109535,3776,3.45,50546,34937.56866,35371627896,40889.24762,5951.67896,3743
25,CANBK,38972,37715,1257,3.33,8626,21043.14862,7107287490,22588.45852,1545.3099,154
26,BRITANNIA,27139,26268,871,3.32,2555,3300.19963,1650579042,3418.11506,117.91542,6039
27,PAGEIND,20386,19733,653,3.31,3409,2110.77201,1655931092,2263.08293,152.31092,35595
28,SHRIRAMFIN,87583,85022,2561,3.01,16173,16706.7615,12047369028,19433.89428,2727.13278,1003
29,MCX,46912,45596,1316,2.89,20090,25724.8757,25788082833,31465.70403,5740.82833,11011
30,ANGELONE,29478,28669,809,2.82,4994,3948.0284,2667139665,4626.05005,678.02165,2329
31,IOC,32317,31447,870,2.77,9261,8747.10135,6858886953,9947.38338,1200.28203,166
32,FEDERALBNK,17924,17442,482,2.76,2114,4972.928,2395057900,5277.632,304.704,265
33,UNOMINDA,8720,8488,232,2.73,874,2497.0198,383835842,2588.55822,91.53842,1289
