,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
0,ALKEM,20563,16281,4282,26.3,13347,48424.71266,4443940912,48619.99678,195.28412,5481
1,NMDC,107593,86099,21494,24.96,104151,284095.8252,29827734435,287739.04455,3643.21935,81
2,FINNIFTY,47474,38417,9057,23.58,721884,13865.49154,1286222238685,34144.9534,20279.46185,27363
3,TVSMOTOR,80697,66702,13995,20.98,65327,184096.32706,23080820516,185494.75722,1398.43016,3579
4,SAIL,69987,57871,12116,20.94,115654,173819.22627,58398981205,183861.62932,10042.40305,134
5,BRITANNIA,42949,35722,7227,20.23,24703,97118.06936,9065557828,97513.33515,395.26578,6040
6,ONGC,101923,85532,16391,19.16,82362,155958.6465,28851463125,158603.57775,2644.93125,234
7,PETRONET,52307,44080,8227,18.66,35883,88009.6101,10027885144,89490.63654,1481.02644,278
8,LICHSGFIN,64967,54973,9994,18.18,31141,105052.1087,6485443400,106083.7927,1031.684,538
9,NTPC,119795,101592,18203,17.92,66323,153994.41,17201248785,155331.34785,1336.93785,325
10,JINDALSTEL,44386,37797,6589,17.43,51589,94638.62362,23293136662,96616.55275,1977.92912,990
11,HINDPETRO,33677,28698,4979,17.35,27207,128941.56456,13447311329,130293.60786,1352.04329,475
12,ADANIPORTS,95929,81857,14072,17.19,100782,194587.72888,51671209873,197891.13761,3303.40873,1453
13,NBCC,32444,27692,4752,17.16,60988,106956.3248,39175086925,113267.46405,6311.13925,121
14,NESTLEIND,57183,48809,8374,17.16,46274,104221.55935,19482633875,105188.6481,967.08875,1280
15,TATASTEEL,107311,91648,15663,17.09,188768,310872.4817,151814023845,325786.40765,14913.92595,172
16,EICHERMOT,65942,56426,9516,16.86,78833,226845.86224,59937229523,230859.13248,4013.27023,7275
17,BAJAJFINSV,129153,110752,18401,16.61,72029,148443.1673,21788963815,150118.45545,1675.28815,2012
18,INDUSTOWER,88932,76289,12643,16.57,59832,208455.96486,22605272385,210516.43371,2060.46885,422
19,ICICIPRULI,30553,26230,4323,16.48,13064,58795.55494,2030219738,58983.90483,188.34988,653
20,MARICO,40727,35071,5656,16.13,27160,104901.81336,14170584492,106095.45828,1193.64492,753
21,ICICIGI,30441,26243,4198,16.0,14279,59701.50186,3101684508,59832.62194,131.12008,1945
22,PERSISTENT,48503,41916,6587,15.71,57793,113434.3822,25120618886,114786.37106,1351.98886,6239
23,IRFC,53555,46362,7193,15.51,190359,117003.68575,95515369337,128717.43162,11713.74587,126
24,NIFTY,8113177,7023935,1089242,15.51,102522433,3382859.49909,198462684925450,6516608.8961,3133749.397,25942
25,KALYANKJIL,48881,42371,6510,15.36,30270,79722.63762,9678673199,80425.03711,702.39949,486
26,MAXHEALTH,64190,55725,8465,15.19,29349,100376.00181,6647613057,100835.48238,459.48057,1062
27,PAYTM,48257,41968,6289,14.99,42136,149932.17898,25890074321,151103.6872,1171.50821,1306
28,MPHASIS,35841,31226,4615,14.78,25191,84984.00812,11217668877,85847.84689,863.83877,2798
29,DIXON,229362,200237,29125,14.55,1110435,376305.13982,649535704328,428340.6831,52035.54328,11880
30,LUPIN,36058,31490,4568,14.51,22183,105625.99914,9308286942,106191.29857,565.29942,2082
31,INDUSINDBK,113636,99326,14310,14.41,82463,253694.08407,23929769444,255853.96851,2159.88444,839
32,TATACONSUM,40961,35840,5121,14.29,53971,85554.01844,27305812127,88016.04471,2462.02627,1194
33,PNB,67694,59263,8431,14.23,71709,229245.8176,46287714240,233275.2,4029.3824,120
34,UNITDSPR,57799,50619,7180,14.18,31282,102795.23788,7676344096,103318.07884,522.84096,1427
35,HDFCBANK,594790,520926,73864,14.18,280815,779986.08748,75928810424,783751.40173,3765.31424,992
