,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
0,SWIGGY,4403,3342,1061,31.75,1754,5595.39916,347454367,5679.67283,84.27367,390
1,ITC,188425,150365,38060,25.31,176043,153075.39744,96430106384,163894.30128,10818.90384,381
2,NIFTY,6808876,6025496,783380,13.0,10698522,146317.5278,18195684547004,565737.09035,419419.56254,26186
3,ASHOKLEY,50346,46509,3837,8.25,19094,16693.172,16039231050,19833.6825,3140.5105,182
4,BAJAJHLDNG,1860,1721,139,8.08,479,583.59708,224082218,635.01926,51.42218,11369
5,TVSMOTOR,57917,54504,3413,6.26,20163,12101.59147,12389924258,14898.31406,2796.72258,3761
6,DRREDDY,27081,25644,1437,5.6,5321,5440.55818,3679296475,5915.46043,474.90225,1254
7,ADANIENSOL,31827,30165,1662,5.51,10580,9748.90323,6765781803,11526.78876,1777.88553,1053
8,PREMIERENE,2426,2306,120,5.2,592,386.71245,257896590,433.95336,47.2409,848
9,ADANIGREEN,56148,53439,2709,5.07,17117,16504.24254,9466170714,18831.34968,2327.10714,1035
10,BHEL,43856,41784,2072,4.96,9987,13144.57173,6574202197,14785.34058,1640.76885,290
11,FINNIFTY,4936,4744,192,4.05,2163,266.60889,3605414526,595.61416,329.00526,27640
12,BANKNIFTY,738255,710511,27744,3.9,294737,44718.85017,527734701324,82126.36342,37407.51324,59684
13,MIDCPNIFTY,82829,79840,2989,3.74,27817,8718.27415,45507670699,12898.25114,4179.97699,13796
14,KAYNES,57299,55461,1838,3.31,8808,5349.66603,3165367090,6118.53693,768.8709,3969
15,NIFTYNXT50,1027,996,31,3.11,131,1796.51183,49547225,1802.33408,5.82225,69633
16,RECLTD,102332,99263,3069,3.09,27937,18993.5004,12708462018,21636.63558,2643.13518,361
17,IOC,32368,31447,921,2.93,7116,6791.48145,5265368062,7729.55332,938.07187,167
18,UNITDSPR,41322,40171,1151,2.87,3435,3131.2298,1708575928,3453.42908,322.19928,1433
19,PFC,98561,95886,2675,2.79,18746,11916.59001,7826242905,13582.36906,1665.77905,358
20,WAAREEENER,3507,3413,94,2.75,620,681.04575,275294090,730.23665,49.1909,2982
21,SHRIRAMFIN,87357,85022,2335,2.75,12959,13063.72815,9696709662,15242.94477,2179.21662,1003
22,BPCL,22167,21586,581,2.69,7006,7710.73693,4703920087,8620.10968,909.37275,386
23,M&M,112411,109535,2876,2.63,39215,27943.07854,27352271028,32677.38882,4734.31028,3760
24,APOLLOHOSP,37111,36178,933,2.58,3243,2488.19097,2617998442,2767.8629,279.67192,7040
25,APLAPOLLO,29106,28407,699,2.46,3068,2618.83548,1870008052,3001.80601,382.97052,1936
26,PAGEIND,20185,19733,452,2.29,2569,1056.8008,1305134637,1170.49718,113.69637,35630
27,HINDPETRO,27629,27014,615,2.28,7857,9984.41903,7134182770,11528.04048,1543.62145,499
28,CANBK,38564,37715,849,2.25,5146,13179.8745,4168023142,14045.82592,865.95142,155
29,MCX,46621,45596,1025,2.25,14833,17525.9283,19192760177,21863.40507,4337.47677,11022
30,RELIANCE,284897,278940,5957,2.14,76303,57238.6398,55840181295,64313.80275,7075.16295,1585
31,ALKEM,13367,13091,276,2.11,881,1840.905,416377200,1892.552,51.647,5417
32,TCS,193497,189589,3908,2.06,21784,17218.04988,10801958055,18687.86543,1469.81555,3214
33,IDEA,149783,146804,2979,2.03,32239,61748.31033,21404783357,68262.7634,6514.45307,11
34,BAJAJ-AUTO,62725,61494,1231,2.0,8886,4492.70943,5971560966,5245.86909,753.15966,9343
35,ANGELONE,29240,28669,571,1.99,3634,2551.87405,1977036185,3059.3609,507.48685,2341
36,RVNL,65712,64460,1252,1.94,8381,5369.17394,4283984555,6498.82074,1129.6468,357
37,OIL,12908,12664,244,1.93,2894,2914.26366,1486232664,3127.9003,213.63664,425
38,GMRAIRPORT,41541,40758,783,1.92,2950,3603.26128,1869713757,4005.0436,401.78232,104
39,NBCC,23955,23509,446,1.9,2122,4763.72325,1269141380,5098.44205,334.7188,122
40,IREDA,25228,24761,467,1.89,4395,4258.14559,1821766152,4694.99011,436.84452,140
41,INDIGO,102536,100644,1892,1.88,34499,26730.2428,24539349885,30843.34165,4113.09885,5112
42,SYNGENE,10329,10139,190,1.87,594,1090.468,287993180,1122.1998,31.7318,644
43,MARUTI,85812,84238,1574,1.87,11069,7342.67727,8671443500,8448.86227,1106.185,16764
44,EICHERMOT,47333,46496,837,1.8,6069,3644.74193,4164177641,4275.51834,630.77641,7283
45,DALBHARAT,11747,11559,188,1.63,1381,2983.50503,688418877,3125.11381,141.60877,2123
